Product ID,Product Available to User (Y/N),Product Category,Product,Product Description,dishcatid ,Material Description,Size/Options,Case Count (Units per Case),Gross Case Weight (lbs),Box Material,Box Weight as % of Gross Weight,Box Weight (lbs),Net Case Weight (lbs),Case Price ($),Unit Price ($),Item Weight (lbs),Item Weight (tons),Primary Material,,,,Secondary Material (Lining/Wrapper),Secondary Material % of Weight,Primary Material Weight per Unit (lbs),Second Material Weight per Unit (lbs),Brand,Manufacturer Model Number,Resource Link,,,,,,,,,
132,Y,Utensils,Knife,Durable PP Knife ,12,Plastic (#5 PP),Standard,24,0.7383,Corrugated Cardboard,12.5%,0.09,0.65,$9.99,$0.42,0.0269,0.0000,Plastic (#5 PP),,,,,,0.0269,,Zoyiancy,,https://www.amazon.com/Cutlery-Reusable-Flatware-Utensils-Camping/dp/B0BFDJK5CZ/ref=sr_1_5?keywords=reusable%2Bplastic%2Butensils&qid=1699769795&sr=8-5&th=1,,,,,,,,,
133,Y,Foodware ,Clamshell,Durable PP Clamshell- 9in x 9in x 3in,6,Plastic (#5 PP),"9"" x 9""",12,7.875,Corrugated Cardboard,12.5%,0.98,6.89,$34.87,$2.91,0.5742,0.0003,Plastic (#5 PP),,,,,,0.5742,,Eco-Takeouts,,https://www.getserveware.com/product/3-compartment-polypropylene-clear-food-reusable-container-9-l-x-9-l-x-3-5-h-g-e-t-eco-takeouts-ec-09-1-cl/,,,,,,,,,
134,Y,Foodware ,Clamshell,Durable PP Clamshell- 5in x 5in x 3in,2,Plastic (#5 PP),"5"" x 5"" ",24,5.44,Corrugated Cardboard,12.5%,0.68,4.76,$29.75,$1.24,0.1983,0.0001,Plastic (#5 PP),,,,,,0.1983,,GET Enterprises,,https://www.webstaurantstore.com/get-ec-08-4-3-4-x-4-3-4-x-3-1-4-jade-green-reusable-eco-takeouts-container-case/375EC08JA.html,,,,,,,,,
135,Y,Foodware ,Clamshell,Durable HDPE Clamshell- 9in x 9in x 3in,6,HDPE ,"9"" x 9""",1,0.506,Corrugated Cardboard,12.5%,0.06,0.44,$6.00,$6.00,0.4428,0.0002,HDPE ,,,,,,0.4428,,Buoy,,https://buoy.eco/shop/buoy-reusable-food-container-64oz-1-9l-lid-without-ventilation/,,,,,,,,,
136,Y,Foodware ,Clamshell,Durable HDPE Clamshell- 5in x 5in x 3in,2,HDPE ,"5"" x 5"" ",1,0.3696,Corrugated Cardboard,12.5%,0.05,0.32,$6.00,$6.00,0.3234,0.0002,HDPE ,,,,,,0.3234,,Buoy,,https://buoy.eco/shop/buoy-reusable-food-container-64oz-1-9l-lid-without-ventilation/,,,,,,,,,
137,Y,Foodware ,Plate,Large Polypropylene Plate ,16,Plastic (#5 PP),"9"" x 9""",10,2.48,Corrugated Cardboard,12.5%,0.31,2.17,$24.12,$2.41,0.2170,0.0001,Plastic (#5 PP),,,,,,0.2170,,Gilac ,,https://eleven36.com/Eleven-36/Disposables/To-Go-Containers/Reusable-To-Go-Containers/GET-Enterprises-EC-26-1-JA-32-oz-Polypropylene-Jade-Reusable-Soup-Container-41-oz-Rim-Full-6-5-Top-Dia-3-25-Tall-Reusable-Takeout-Container/p/sku-00097013,,,,,,,,,
138,Y,Foodware ,Plate,Small Polypropylene Plate ,16,Plastic (#5 PP),"5"" x 5"" ",10,1.24,Corrugated Cardboard,12.5%,0.16,1.09,$24.12,$2.41,0.1085,0.0001,Plastic (#5 PP),,,,,,0.1085,,Gilac ,,https://eleven36.com/Eleven-36/Disposables/To-Go-Containers/Reusable-To-Go-Containers/GET-Enterprises-EC-26-1-JA-32-oz-Polypropylene-Jade-Reusable-Soup-Container-41-oz-Rim-Full-6-5-Top-Dia-3-25-Tall-Reusable-Takeout-Container/p/sku-00097013,,,,,,,,,
139,Y,Foodware ,Plate,Large HDPE  Plate ,16,HDPE ,"9"" x 9""",10,2.48,Corrugated Cardboard,12.5%,0.31,2.17,$24.12,$2.41,0.2170,0.0001,HDPE ,,,,,,0.2170,,Gilac ,,https://www.gilac.com/en/plate/167-gilactiv-plates-pack-of-10-3573678684461.html,,,,,,,,,
140,Y,Foodware ,Plate,Small HDPE  Plate ,16,HDPE ,"5"" x 5"" ",10,1.24,Corrugated Cardboard,12.5%,0.16,1.09,$24.12,$2.41,0.1085,0.0001,HDPE ,,,,,,0.1085,,Gilac ,,https://www.gilac.com/en/plate/167-gilactiv-plates-pack-of-10-3573678684461.html,,,,,,,,,
141,Y,Foodware ,Plate,Large Ceramic Plate ,16,Ceramic ,"9"" x 9""",8,8.73,Corrugated Cardboard,12.5%,1.09,7.64,$4.80,$0.60,0.9548,0.0005,Ceramic ,,,,,,0.9548,,"Guangzhou Garbo International Trading Co., Ltd.",,https://www.alibaba.com/product-detail/Wholesale-Ceramic-New-Dot-Design-Hotel_1600257349482.html?spm=a2700.galleryofferlist.topad_classic.d_title.6ed213a0bXZPbl,,,,,,,,,
142,Y,Foodware ,Plate,Small Ceramic Plate ,16,Ceramic ,"5"" x 5"" ",30,13.3,Corrugated Cardboard,12.5%,1.66,11.64,$52.99,$1.77,0.3879,0.0002,Ceramic ,,,,,,0.3879,,XINLTC,,https://www.amazon.com/XINLTC-Ceramic-Appetizer-Microwave-Dishwasher/dp/B0B6W2BWR6/ref=sr_1_20_sspa?dib=eyJ2IjoiMSJ9.0Wgc0XKmoj1DerCyOCsfG38H0m9jwCNHz4xjzpcfdxGbo5WIyvNI0JOsCFoXcfxrMIsRpQ8aJuBwQ5CZvo28M7YzpWTiIYw2cHgoXM8cE36r0PnhKWPz9ETKbQQ5y5fCmJp_YsU6lR0TcEhNy6UKzX8Oa7ffwrG8ZYEmKLsA8PxL1e2EIkwq026LdL-i-KIom9iqH0vep1GOdefUPtbi1UsUgOam6BAhbX0L2xGWPJ9AxgJbIvgZlXyZj-LmrTgRzZVEooCtPMd9O30YXOaxmGrX7xB1C6fc6cFPh9zXU1A.FjhamYfmfh90Vfys7PpnbBzfKbqXO5wdfpBv1TMEhtY&dib_tag=se&hvadid=580695286724&hvdev=c&hvlocphy=9031042&hvnetw=g&hvqmt=e&hvrand=13659110793126508147&hvtargid=kwd-310897826076&hydadcr=21446_13322358&keywords=small%2Breusable%2Bplastic%2Bplates&qid=1708627382&sr=8-20-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&th=1,,,,,,,,,
143,Y,Foodware ,Plate,Large Stainless Steel Plate ,16,Stainless Steel ,"9"" x 9""",1,0.57,Corrugated Cardboard,12.5%,0.07,0.50,$6.99,$6.99,0.4988,0.0002,Stainless Steel ,,,,,,0.4988,,Choice,,https://www.webstaurantstore.com/sizzler-7x10-5-aluminum/471ALMSZ10.html?utm_source=google&utm_medium=cpc&utm_campaign=GoogleShopping&gclid=CjwKCAiA_tuuBhAUEiwAvxkgTubL29yPcnzzLKjhCqSxCvlDT2aFFCurpBFi4Kl94Eep_K8CtA8wtRoCh_8QAvD_BwE,,,,,,,,,
144,Y,Foodware ,Plate,Small Stainless Steel Plate ,16,Stainless Steel ,"5"" x 5"" ",1,0.1,Corrugated Cardboard,12.5%,0.01,0.09,$3.29,$3.29,0.0875,0.0000,Stainless Steel ,,,,,,0.0875,,Choice,,https://www.webstaurantstore.com/choice-6-x-1-2-round-aluminum-sizzler-platter/471ALMSZRD6.html,,,,,,,,,
145,Y,Foodware ,Plate,Large SAN Plastic Plate ,16,SAN Plastic ,"9"" x 9""",12,7.5,Corrugated Cardboard,12.5%,0.94,6.56,$52.49,$4.37,0.5469,0.0003,SAN Plastic ,,,,,,0.5469,,GET Enterprises,,https://www.webstaurantstore.com/get-ebt-1300-w-13-round-white-san-plastic-economy-bar-tray-case/375EBT1300.html?utm_source=google&utm_medium=cpc&utm_campaign=GoogleShopping&gclid=CjwKCAiAuNGuBhAkEiwAGId4arJMA_KVuw_OnI8F6oLhK2jktwJYudz26xEnanRH-1jfE-KwYbz2whoCQ5gQAvD_BwE,,,,,,,,,
146,Y,Foodware ,Plate,Small SAN Plastic Plate ,16,SAN Plastic ,"5"" x 5"" ",12,3.2,Corrugated Cardboard,12.5%,0.40,2.80,$13.49,$1.12,0.2333,0.0001,SAN Plastic ,,,,,,0.2333,,Acopa Foundations,,https://www.webstaurantstore.com/acopa-foundations-6-1-2-white-narrow-rim-melamine-plate-case/304FND106W.html?utm_source=google&utm_medium=cpc&utm_campaign=GoogleShopping&gclid=CjwKCAiA_tuuBhAUEiwAvxkgTn1TDrC_z7uxLLD0-8FzYTmpfCx7ryoZ9XhYG0XOPP5xyfJ3VxudkBoCxqwQAvD_BwE,,,,,,,,,
147,Y,Foodware ,Food Tray,Stainless Steel Tray- 9in x 9in x 3in,16,Stainless Steel ,"9"" x 9""",4,4.5,Corrugated Cardboard,12.5%,0.56,3.94,$27.99,$7.00,0.9844,0.0005,Stainless Steel ,,,,,,0.9844,,WG inc,,https://www.amazon.com/WG-Stainless-Divided-Compartment-Control/dp/B0991PQR1R/ref=sr_1_3?crid=34EW9IK16A811&keywords=restaurant%2Bstainless%2Bsteel%2B3%2Bcompartment%2Btray&qid=1702443241&s=home-garden&sprefix=restaurant%2Bstainless%2Bsteel%2B3%2Bcompartment%2Btray%2B%2Cgarden%2C155&sr=1-3&th=1,,,,,,,,,
148,Y,Foodware ,Food Tray,Stainless Steel Tray- 5in x 5in x 3in,16,Stainless Steel ,"5"" x 5"" ",1,0.39375,Corrugated Cardboard,12.5%,0.05,0.34,$6.36,$6.36,0.3445,0.0002,Stainless Steel ,,,,,,0.3445,,Clipper Mill,,https://www.webstaurantstore.com/clipper-mill-by-get-4-80868-6-x-4-1-2-stainless-steel-boat-tray/375480868.html,,,,,,,,,
