Product ID,Product Available to User (Y/N),Product Category,Product,Product Description,Material Description,Size/Options,Case Count (Units per Case),Gross Case Weight (lbs),Box Material,Box Weight as % of Gross Weight,Box Weight (lbs),Net Case Weight (lbs),Case Price ($),Item Weight (lbs),Primary Material,"MTCO2eq per 1.0 pounds reduced",EF,CO2eq per item (lb),Secondary Material (Lining/Wrapper),Secondary Material % of Weight,Primary Material Weight per Unit (lbs),Second Material Weight per Unit (lbs),Brand,Manufacturer Model Number,Resource Link
120,Y,Beverages,Cup,16 oz Polypropylene Cup,Plastic (#5 PP),16 oz,8,1.485,Corrugated Cardboard,12.5%,0.19,1.30,$21.99,0.1624,Plastic (#5 PP),0.00100697,2.22,0.3606,,,0.1624,,Amazing Abby,,https://www.amazon.com/Amazing-Abby-High-Balls-Shatter-Proof-Dishwasher-Safe/dp/B08Z34N4VP/ref=sr_1_7?crid=1Q73Y7KG49FDV&keywords=16%2Boz%2Breusable%2Bplastic%2Bcups&qid=1699844954&sprefix=16%2Boz%2Breusable%2B%2Caps%2C174&sr=8-7&th=1
121,Y,Beverages,Cup,8 oz SAN Plastic Cup,SAN Plastic,8 oz,12,1.12,Corrugated Cardboard,12.5%,0.14,0.98,$4.99,0.0817,SAN Plastic,0.00182185,4.0165,0.3280,,,0.0817,,Choice,,https://www.webstaurantstore.com/choice-8-oz-clear-san-plastic-pebbled-tumbler-pack/1768STPEBCL.html?utm_source=google&utm_medium=cpc&utm_campaign=GoogleShopping&gclid=Cj0KCQiAoeGuBhCBARIsAGfKY7wTn7l99hNR0baA-LTUwdXhMeb6zZ2DfacxueE_z_7teAxI9XMhK1oaArt6EALw_wcB
122,Y,Beverages,Cup,12 oz SAN Plastic Cup,SAN Plastic,12 oz,12,1.55,Corrugated Cardboard,12.5%,0.19,1.36,$5.29,0.1130,SAN Plastic,0.00182185,4.0165,0.4539,,,0.1130,,Choice,,https://www.webstaurantstore.com/choice-12-oz-clear-san-plastic-pebbled-tumbler-pack/17612STPEBCL.html?utm_source=google&utm_medium=cpc&utm_campaign=GoogleShopping&gclid=Cj0KCQiAoeGuBhCBARIsAGfKY7wZjWdCMnAv8suFcX0xEnFRzw6EXJmOJ3Wu4OogxGsKMA4Lx4CecLwaAkkoEALw_wcB
123,Y,Beverages,Cup,16 oz SAN Plastic Cup,SAN Plastic,16 oz,24,7.8,Corrugated Cardboard,12.5%,0.98,6.83,$34.49,0.2844,SAN Plastic,0.00182185,4.0165,1.1422,,,0.2844,,Choice,,https://www.webstaurantstore.com/choice-16-oz-san-stackable-plastic-mixing-pint-glass-case/176BWSBEVG16.html?utm_source=google&utm_medium=cpc&utm_campaign=GoogleShopping&gclid=Cj0KCQiAoeGuBhCBARIsAGfKY7x9OvNAqkFfoo7rsfQSShgCrlSt0vnDBa0G7meAEz_EOTklm9tOEwwaAq28EALw_wcB
124,Y,Utensils,Fork,Stainless Steel Fork,Stainless Steel,Standard,70,5.625,Corrugated Cardboard,12.5%,0.70,4.92,$120.99,0.0703,Stainless Steel,0.00175540,3.87,0.2721,,,0.0703,,Mikasa,,https://www.amazon.com/Mikasa-5060761-65-Piece-Stainless-Flatware/dp/B003IPBYWC/ref=sxin_17_pa_sp_search_thematic_sspa?content-id=amzn1.sym.e0f7d8e5-6c81-4b07-b83b-2ec00eebe75e%3Aamzn1.sym.e0f7d8e5-6c81-4b07-b83b-2ec00eebe75e&cv_ct_cx=reusable%2Bplastic%2Butensils&keywords=reusable%2Bplastic%2Butensils&pd_rd_i=B003IPBYWC&pd_rd_r=f4f0f52e-f0f1-48c9-a767-70a3b1b397f6&pd_rd_w=jDo43&pd_rd_wg=0v8ch&pf_rd_p=e0f7d8e5-6c81-4b07-b83b-2ec00eebe75e&pf_rd_r=BS8H0NZF3P8S2NPQN40D&qid=1699769795&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-3-2c727eeb-987f-452f-86bd-c2978cc9d8b9-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM&th=1
125,Y,Utensils,Spoon,Stainless Steel Spoon,Stainless Steel,Standard,70,5.625,Corrugated Cardboard,12.5%,0.70,4.92,$120.99,0.0703,Stainless Steel,0.00175540,3.87,0.2721,,,0.0703,,Mikasa,,https://www.amazon.com/Mikasa-5060761-65-Piece-Stainless-Flatware/dp/B003IPBYWC/ref=sxin_17_pa_sp_search_thematic_sspa?content-id=amzn1.sym.e0f7d8e5-6c81-4b07-b83b-2ec00eebe75e%3Aamzn1.sym.e0f7d8e5-6c81-4b07-b83b-2ec00eebe75e&cv_ct_cx=reusable%2Bplastic%2Butensils&keywords=reusable%2Bplastic%2Butensils&pd_rd_i=B003IPBYWC&pd_rd_r=f4f0f52e-f0f1-48c9-a767-70a3b1b397f6&pd_rd_w=jDo43&pd_rd_wg=0v8ch&pf_rd_p=e0f7d8e5-6c81-4b07-b83b-2ec00eebe75e&pf_rd_r=BS8H0NZF3P8S2NPQN40D&qid=1699769795&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-3-2c727eeb-987f-452f-86bd-c2978cc9d8b9-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM&th=1
126,Y,Utensils,Knife,Stainless Steel Knife,Stainless Steel,Standard,70,5.625,Corrugated Cardboard,12.5%,0.70,4.92,$120.99,0.0703,Stainless Steel,0.00175540,3.87,0.2721,,,0.0703,,Mikasa,,https://www.amazon.com/Mikasa-5060761-65-Piece-Stainless-Flatware/dp/B003IPBYWC/ref=sxin_17_pa_sp_search_thematic_sspa?content-id=amzn1.sym.e0f7d8e5-6c81-4b07-b83b-2ec00eebe75e%3Aamzn1.sym.e0f7d8e5-6c81-4b07-b83b-2ec00eebe75e&cv_ct_cx=reusable%2Bplastic%2Butensils&keywords=reusable%2Bplastic%2Butensils&pd_rd_i=B003IPBYWC&pd_rd_r=f4f0f52e-f0f1-48c9-a767-70a3b1b397f6&pd_rd_w=jDo43&pd_rd_wg=0v8ch&pf_rd_p=e0f7d8e5-6c81-4b07-b83b-2ec00eebe75e&pf_rd_r=BS8H0NZF3P8S2NPQN40D&qid=1699769795&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-3-2c727eeb-987f-452f-86bd-c2978cc9d8b9-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM&th=1
127,Y,Utensils,Fork,Recycled Stainless Steel Fork,Recycled Stainless Steel,Standard,70,5.625,Corrugated Cardboard,12.5%,0.70,4.92,$70.00,0.0703,Recycled Stainless Steel,0.00081941,1.8065,0.1270,,,0.0703,,Mikasa,,https://ahimsaschools.com/products/commercial-forks
128,Y,Utensils,Spoon,Recycled Stainless Steel Spoon,Recycled Stainless Steel,Standard,70,5.625,Corrugated Cardboard,12.5%,0.70,4.92,$70.00,0.0703,Recycled Stainless Steel,0.00081941,1.8065,0.1270,,,0.0703,,Mikasa,,https://ahimsaschools.com/products/commercial-spoons
129,Y,Utensils,Knife,Recycled Stainless Steel Knife,Recycled Stainless Steel,Standard,70,5.625,Corrugated Cardboard,12.5%,0.70,4.92,$105.00,0.0703,Recycled Stainless Steel,0.00081941,1.8065,0.1270,,,0.0703,,Mikasa,,https://ahimsaschools.com/products/knives
